_id,ags2,bundesland,ags5,kreis,kr_ein_md,kr_schu_qu,kr_hh_eink_kl1,kr_hh_eink_kl2,kr_hh_eink_kl3,kr_hh_eink_kl4,kr_hh_eink_kl5,kr_hh_eink_kl6,kr_kk_hh,kr_kk_ew
108,05,Nordrhein-Westfalen,05915,Hamm,3022,14.9,18091,21693,22789,10977,7125,6196,39458,19052
109,05,Nordrhein-Westfalen,05916,Herne,3295,17.9,19518,24512,24444,7699,3973,3068,34882,18554
110,05,Nordrhein-Westfalen,05954,Ennepe-Ruhr-Kreis,3267,11.0,21832,35781,48336,24205,17579,20194,48983,25379
111,05,Nordrhein-Westfalen,05958,Hochsauerlandkreis,3186,10.1,18429,20342,34888,23898,17175,14507,50987,25366
112,05,Nordrhein-Westfalen,05962,Märkischer Kreis,3314,12.8,20349,35185,57238,34837,25637,23254,53937,25836
113,05,Nordrhein-Westfalen,05966,Olpe,3290,8.5,4326,7173,16609,13853,11477,10432,61300,29228
114,05,Nordrhein-Westfalen,05970,Siegen-Wittgenstein,3418,9.3,18894,20911,37730,25734,18424,14515,49335,24264
115,05,Nordrhein-Westfalen,05974,Soest,3174,10.3,19306,23543,37788,24840,18559,18030,50112,23590
116,05,Nordrhein-Westfalen,05978,Unna,2948,11.7,33127,37263,53119,29439,21573,19428,45330,22264
117,06,Hessen,06411,Kreisfreie Stadt Darmstadt,4185,8.8,4038,12435,26983,18838,12028,10669,45120,23986
118,06,Hessen,06412,Kreisfreie Stadt Frankfurt am Main,4182,10.5,13452,41138,101068,84152,78070,90938,44607,23889
119,06,Hessen,06413,Kreisfreie Stadt Offenbach am Main,3450,17.1,5493,15619,26578,11933,5363,3934,36020,19055
120,06,Hessen,06414,Landeshauptstadt Wiesbaden,3758,16.6,2379,12733,45496,36396,25917,26440,49016,26290
121,06,Hessen,06431,Bergstraße,3029,8.8,8244,18410,37154,25414,20565,23230,51962,25567
122,06,Hessen,06432,Darmstadt-Dieburg,3131,8.5,5982,14350,38449,28998,24495,28926,54288,25736
123,06,Hessen,06433,Groß-Gerau,3687,9.4,7187,20875,41144,25484,18578,18672,47244,22607
124,06,Hessen,06434,Hochtaunus,4024,7.1,805,5649,23118,24096,20936,39174,75487,36253
125,06,Hessen,06435,Main-Kinzig,3134,10.1,11526,28704,58284,38082,29734,34074,53306,25402
126,06,Hessen,06436,Main-Taunus,4061,7.2,3201,11653,28519,22476,18965,32832,59756,29469
127,06,Hessen,06437,Odenwaldkreis,2958,9.9,3796,6953,13585,9522,6785,5367,49167,23392
128,06,Hessen,06438,Offenbach,3477,9.1,5612,21795,52392,34126,26312,32549,52714,25598
129,06,Hessen,06439,Rheingau-Taunus,3172,8.1,5117,13001,24966,16986,14650,19140,54008,27085
130,06,Hessen,06440,Wetterau,3156,9.7,8064,17678,39131,28432,23515,28610,53774,25363
131,06,Hessen,06531,Gießen,3237,8.9,11768,23665,43337,24080,16650,15600,43943,21932
132,06,Hessen,06532,Lahn-Dill,3300,9.5,11576,18181,34602,23424,17967,18278,50311,24633
