_id,ags2,bundesland,ags5,kreis,kr_pkw_dichte
205,08,Baden-Württemberg,08315,Breisgau-Hochschwarzwald,556
206,08,Baden-Württemberg,08316,Emmendingen,568
207,08,Baden-Württemberg,08317,Ortenaukreis,578
208,08,Baden-Württemberg,08325,Rottweil,610
209,08,Baden-Württemberg,08326,Schwarzwald-Baar-Kreis,562
210,08,Baden-Württemberg,08327,Tuttlingen,567
211,08,Baden-Württemberg,08335,Konstanz,519
212,08,Baden-Württemberg,08336,Lörrach,559
213,08,Baden-Württemberg,08337,Waldshut,588
214,08,Baden-Württemberg,08415,Reutlingen,567
215,08,Baden-Württemberg,08416,Tübingen,498
216,08,Baden-Württemberg,08417,Zollernalbkreis,622
217,08,Baden-Württemberg,08421,Ulm,433
218,08,Baden-Württemberg,08425,Alb-Donau-Kreis,613
219,08,Baden-Württemberg,08426,Biberach,609
220,08,Baden-Württemberg,08435,Bodenseekreis,583
221,08,Baden-Württemberg,08436,Ravensburg,581
222,08,Baden-Württemberg,08437,Sigmaringen,616
223,09,Freistaat Bayern,09161,Ingolstadt,474
224,09,Freistaat Bayern,09162,"München, Landeshauptstadt",351
225,09,Freistaat Bayern,09163,"Rosenheim, Stadt",475
226,09,Freistaat Bayern,09171,Altötting,596
227,09,Freistaat Bayern,09172,Berchtesgadener Land,565
228,09,Freistaat Bayern,09173,Bad Tölz-Wolfratshausen,575
229,09,Freistaat Bayern,09174,Dachau,553
230,09,Freistaat Bayern,09175,Ebersberg,541
231,09,Freistaat Bayern,09176,Eichstätt,610
232,09,Freistaat Bayern,09177,Erding,604
233,09,Freistaat Bayern,09178,Freising,552
234,09,Freistaat Bayern,09179,Fürstenfeldbruck,521
235,09,Freistaat Bayern,09180,Garmisch-Partenkirchen,526
236,09,Freistaat Bayern,09181,Landsberg am Lech,617
237,09,Freistaat Bayern,09182,Miesbach,594
238,09,Freistaat Bayern,09183,Mühldorf a.Inn,600
239,09,Freistaat Bayern,09184,"München, Kreis",499
240,09,Freistaat Bayern,09185,Neuburg-Schrobenhausen,623
241,09,Freistaat Bayern,09186,Pfaffenhofen a.d.Ilm,615
242,09,Freistaat Bayern,09187,"Rosenheim, Kreis",598
243,09,Freistaat Bayern,09188,Starnberg,561
244,09,Freistaat Bayern,09189,Traunstein,614
245,09,Freistaat Bayern,09190,Weilheim-Schongau,607
246,09,Freistaat Bayern,09261,"Landshut, Stadt",451
247,09,Freistaat Bayern,09262,"Passau, Stadt",454
248,09,Freistaat Bayern,09263,Straubing,497
249,09,Freistaat Bayern,09271,Deggendorf,601
250,09,Freistaat Bayern,09272,Freyung-Grafenau,630
251,09,Freistaat Bayern,09273,Kelheim,615
252,09,Freistaat Bayern,09274,"Landshut, Kreis",638
253,09,Freistaat Bayern,09275,"Passau, Kreis",624
254,09,Freistaat Bayern,09276,Regen,596
255,09,Freistaat Bayern,09277,Rottal-Inn,615
256,09,Freistaat Bayern,09278,Straubing-Bogen,648
257,09,Freistaat Bayern,09279,Dingolfing-Landau,635
258,09,Freistaat Bayern,09361,Amberg,528
259,09,Freistaat Bayern,09362,"Regensburg, Stadt",417
260,09,Freistaat Bayern,09363,Weiden i.d.OPf.,531
261,09,Freistaat Bayern,09371,Amberg-Sulzbach,642
262,09,Freistaat Bayern,09372,Cham,642
263,09,Freistaat Bayern,09373,Neumarkt i.d.OPf.,595
264,09,Freistaat Bayern,09374,Neustadt a.d.Waldnaab,651
265,09,Freistaat Bayern,09375,"Regensburg, Kreis",614
266,09,Freistaat Bayern,09376,Schwandorf,627
267,09,Freistaat Bayern,09377,Tirschenreuth,634
268,09,Freistaat Bayern,09461,"Bamberg, Stadt",434
269,09,Freistaat Bayern,09462,"Bayreuth, Stadt",436
270,09,Freistaat Bayern,09463,"Coburg, Stadt",509
271,09,Freistaat Bayern,09464,"Hof, Stadt",485
272,09,Freistaat Bayern,09471,"Bamberg, Kreis",652
273,09,Freistaat Bayern,09472,"Bayreuth, Kreis",655
274,09,Freistaat Bayern,09473,"Coburg, Kreis",635
275,09,Freistaat Bayern,09474,Forchheim,638
276,09,Freistaat Bayern,09475,"Hof, Kreis",616
277,09,Freistaat Bayern,09476,Kronach,624
278,09,Freistaat Bayern,09477,Kulmbach,629
279,09,Freistaat Bayern,09478,Lichtenfels,619
280,09,Freistaat Bayern,09479,Wunsiedel i.Fichtelgebirge,596
281,09,Freistaat Bayern,09561,"Ansbach, Stadt",529
282,09,Freistaat Bayern,09562,Erlangen,439
283,09,Freistaat Bayern,09563,"Fürth, Stadt",446
284,09,Freistaat Bayern,09564,Nürnberg,405
285,09,Freistaat Bayern,09565,Schwabach,570
286,09,Freistaat Bayern,09571,"Ansbach, Kreis",641
287,09,Freistaat Bayern,09572,Erlangen-Höchstadt,616
288,09,Freistaat Bayern,09573,"Fürth, Kreis",624
289,09,Freistaat Bayern,09574,Nürnberger Land,597
290,09,Freistaat Bayern,09575,Neustadt a.d.Aisch-Bad Windsheim,630
291,09,Freistaat Bayern,09576,Roth,630
292,09,Freistaat Bayern,09577,Weißenburg-Gunzenhausen,612
293,09,Freistaat Bayern,09661,"Aschaffenburg, Stadt",504
294,09,Freistaat Bayern,09662,"Schweinfurt, Stadt",451
295,09,Freistaat Bayern,09663,"Würzburg, Stadt",418
296,09,Freistaat Bayern,09671,"Aschaffenburg, Kreis",624
297,09,Freistaat Bayern,09672,Bad Kissingen,636
298,09,Freistaat Bayern,09673,Rhön-Grabfeld,632
299,09,Freistaat Bayern,09674,Haßberge,651
300,09,Freistaat Bayern,09675,Kitzingen,628
301,09,Freistaat Bayern,09676,Miltenberg,608
302,09,Freistaat Bayern,09677,Main-Spessart,635
303,09,Freistaat Bayern,09678,"Schweinfurt, Kreis",657
304,09,Freistaat Bayern,09679,"Würzburg, Kreis",613
305,09,Freistaat Bayern,09761,"Augsburg, Stadt",404
306,09,Freistaat Bayern,09762,Kaufbeuren,515
307,09,Freistaat Bayern,09763,Kempten (Allgäu),486
308,09,Freistaat Bayern,09764,Memmingen,517
309,09,Freistaat Bayern,09771,Aichach-Friedberg,602
310,09,Freistaat Bayern,09772,"Augsburg, Kreis",608
311,09,Freistaat Bayern,09773,Dillingen a.d.Donau,635
