GENESIS-Tabelle: 81000-0002
VGR des Bundes - Bruttowertschöpfung, Bruttoinlandsprodukt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
(nominal/preisbereinigt): Deutschland, Quartale, Original-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
und bereinigte Daten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Volkswirtschaftliche Gesamtrechnungen des Bundes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;2016;2016;2016;2016;2017;2017;2017;2017;2018;2018;2018;2018;2019;2019;2019;2019;2020;2020;2020;2020;2021;2021;2021;2021;2022;2022;2022;2022
;;;;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal;1. Quartal;2. Quartal;3. Quartal;4. Quartal
X13 JDemetra+  kalender- und saisonbereinigt;preisbereinigt, Kettenindex (2015=100);Bruttowertschöpfung;jew. ME;101,400;101,940;102,290;102,550;103,760;104,710;105,860;106,650;106,180;106,620;106,240;106,640;107,890;107,190;107,520;107,440;106,070;94,490;103,250;103,640;102,670;104,320;106,680;105,340;106,130;...;...;...
X13 JDemetra+  kalender- und saisonbereinigt;preisbereinigt, Kettenindex (2015=100);Gütersteuern abzügl. Gütersubventionen;jew. ME;102,090;101,440;101,790;102,640;104,260;103,810;102,660;104,050;103,680;105,610;104,540;105,030;104,980;105,990;107,410;107,330;100,740;99,520;106,570;110,790;101,610;109,540;105,290;114,460;109,390;...;...;...
X13 JDemetra+  kalender- und saisonbereinigt;preisbereinigt, Kettenindex (2015=100);     Gütersteuern;jew. ME;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
X13 JDemetra+  kalender- und saisonbereinigt;preisbereinigt, Kettenindex (2015=100);     Gütersubventionen;jew. ME;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
X13 JDemetra+  kalender- und saisonbereinigt;preisbereinigt, Kettenindex (2015=100);Bruttoinlandsprodukt;jew. ME;101,470;101,890;102,240;102,560;103,810;104,620;105,540;106,390;105,930;106,520;106,070;106,480;107,600;107,070;107,510;107,430;105,540;94,990;103,580;104,350;102,590;104,820;106,570;106,200;106,450;...;...;...
X13 JDemetra+  kalender- und saisonbereinigt;preisbereinigt, Kettenindex (2015=100);nachr.: Bruttoinlandsprodukt (Veränderung in %);Prozent;0,8;0,4;0,3;0,3;1,2;0,8;0,9;0,8;-0,4;0,6;-0,4;0,4;1,1;-0,5;0,4;-0,1;-1,8;-10,0;9,0;0,7;-1,7;2,2;1,7;-0,3;0,2;...;...;...
X13 JDemetra+  kalender- und saisonbereinigt;preisbereinigt, Kettenindex (2015=100);nachr.: Bruttoinlandsprodukt je Einwohner;jew. ME;100,810;101,100;101,370;101,580;102,720;103,410;104,250;105,040;104,480;105,000;104,470;104,790;105,840;105,280;105,670;105,540;103,640;93,320;101,750;102,490;100,770;102,950;104,620;104,200;104,470;...;...;...
X13 JDemetra+  kalender- und saisonbereinigt;preisbereinigt, verkettete Volumenang. (Mrd. EUR);Bruttowertschöpfung;jew. ME;690,032;693,707;696,089;697,858;706,058;712,523;720,348;725,724;722,543;725,537;722,952;725,673;734,214;729,450;731,696;731,152;721,794;642,993;702,604;705,258;698,641;709,869;725,928;716,810;722,185;...;...;...
X13 JDemetra+  kalender- und saisonbereinigt;preisbereinigt, verkettete Volumenang. (Mrd. EUR);Gütersteuern abzügl. Gütersubventionen;jew. ME;77,633;77,139;77,405;78,051;79,314;78,971;78,097;79,154;78,857;80,325;79,511;79,884;79,831;80,599;81,678;81,618;76,601;75,673;81,034;84,243;77,298;83,331;80,098;87,074;83,217;...;...;...
X13 JDemetra+  kalender- und saisonbereinigt;preisbereinigt, verkettete Volumenang. (Mrd. EUR);     Gütersteuern;jew. ME;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
X13 JDemetra+  kalender- und saisonbereinigt;preisbereinigt, verkettete Volumenang. (Mrd. EUR);     Gütersubventionen;jew. ME;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
X13 JDemetra+  kalender- und saisonbereinigt;preisbereinigt, verkettete Volumenang. (Mrd. EUR);Bruttoinlandsprodukt;jew. ME;767,666;770,844;773,492;775,913;785,369;791,497;798,458;804,888;801,408;805,872;802,467;805,569;814,061;810,052;813,380;812,775;798,438;718,624;783,610;789,435;776,140;793,010;806,250;803,451;805,342;...;...;...
X13 JDemetra+  kalender- und saisonbereinigt;preisbereinigt, verkettete Volumenang. (Mrd. EUR);nachr.: Bruttoinlandsprodukt (Veränderung in %);Prozent;0,8;0,4;0,3;0,3;1,2;0,8;0,9;0,8;-0,4;0,6;-0,4;0,4;1,1;-0,5;0,4;-0,1;-1,8;-10,0;9,0;0,7;-1,7;2,2;1,7;-0,3;0,2;...;...;...
X13 JDemetra+  kalender- und saisonbereinigt;preisbereinigt, verkettete Volumenang. (Mrd. EUR);nachr.: Bruttoinlandsprodukt je Einwohner;jew. ME;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;...;...
X13 JDemetra+  kalender- und saisonbereinigt;preisbereinigt, unverkettete Volumenang.(Mrd. EUR);Bruttowertschöpfung;jew. ME;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;...;...
X13 JDemetra+  kalender- und saisonbereinigt;preisbereinigt, unverkettete Volumenang.(Mrd. EUR);Gütersteuern abzügl. Gütersubventionen;jew. ME;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;...;...
X13 JDemetra+  kalender- und saisonbereinigt;preisbereinigt, unverkettete Volumenang.(Mrd. EUR);     Gütersteuern;jew. ME;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
X13 JDemetra+  kalender- und saisonbereinigt;preisbereinigt, unverkettete Volumenang.(Mrd. EUR);     Gütersubventionen;jew. ME;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
