_id,ags2,bundesland,ags5,kreis,kr_arm_alt,kr_sgb_qu,kr_arm_kind
177,07,rheinland-pfalz,07339,mainz-bingen,1.9,5.9,8.6
178,07,rheinland-pfalz,07340,suedwestpfalz,1.1,4.7,6.1
179,08,baden-wuerttemberg,08111,stuttgart,4.5,9.3,14.0
180,08,baden-wuerttemberg,08115,boeblingen,1.7,4.7,7.0
181,08,baden-wuerttemberg,08116,esslingen,1.8,5.3,7.4
182,08,baden-wuerttemberg,08117,goeppingen,2.0,6.4,10.0
183,08,baden-wuerttemberg,08118,ludwigsburg,1.6,4.9,7.4
184,08,baden-wuerttemberg,08119,rems-murr-kreis,2.2,6.3,8.7
185,08,baden-wuerttemberg,08121,heilbronn,3.7,9.6,13.9
186,08,baden-wuerttemberg,08125,heilbronn,1.8,4.6,6.7
187,08,baden-wuerttemberg,08126,hohenlohekreis,1.8,3.7,3.9
188,08,baden-wuerttemberg,08127,schwaebisch hall,2.1,5.6,6.4
189,08,baden-wuerttemberg,08128,main-tauber-kreis,1.6,4.6,7.0
190,08,baden-wuerttemberg,08135,heidenheim,2.0,7.0,11.3
191,08,baden-wuerttemberg,08136,ostalbkreis,1.9,5.3,7.0
192,08,baden-wuerttemberg,08211,baden-baden,6.1,8.0,10.7
193,08,baden-wuerttemberg,08212,karlsruhe,5.0,8.0,11.7
194,08,baden-wuerttemberg,08215,karlsruhe,1.3,4.5,6.5
195,08,baden-wuerttemberg,08216,rastatt,2.1,5.3,7.9
196,08,baden-wuerttemberg,08221,heidelberg,4.1,6.1,8.9
197,08,baden-wuerttemberg,08222,mannheim,5.5,12.5,20.2
198,08,baden-wuerttemberg,08225,neckar-odenwald-kreis,2.3,5.8,6.3
199,08,baden-wuerttemberg,08226,rhein-neckar-kreis,1.9,6.1,8.5
200,08,baden-wuerttemberg,08231,pforzheim,4.3,12.4,20.8
201,08,baden-wuerttemberg,08235,calw,1.5,4.9,6.3
202,08,baden-wuerttemberg,08236,enzkreis,1.1,3.8,5.7
203,08,baden-wuerttemberg,08237,freudenstadt,1.9,5.2,6.3
204,08,baden-wuerttemberg,08311,freiburg im breisgau,5.0,9.9,14.8
205,08,baden-wuerttemberg,08315,breisgau-hochschwarzwald,1.7,4.8,6.6
206,08,baden-wuerttemberg,08316,emmendingen,2.1,5.2,6.7
207,08,baden-wuerttemberg,08317,ortenaukreis,2.2,6.0,9.2
208,08,baden-wuerttemberg,08325,rottweil,2.0,4.8,5.9
209,08,baden-wuerttemberg,08326,schwarzwald-baar-kreis,2.2,5.5,8.2
210,08,baden-wuerttemberg,08327,tuttlingen,2.3,5.1,7.0
211,08,baden-wuerttemberg,08335,konstanz,2.6,6.1,9.3
212,08,baden-wuerttemberg,08336,loerrach,2.3,5.8,7.4
213,08,baden-wuerttemberg,08337,waldshut,1.9,4.9,6.5
214,08,baden-wuerttemberg,08415,reutlingen,2.3,6.5,8.9
215,08,baden-wuerttemberg,08416,tuebingen,2.0,5.1,7.3
216,08,baden-wuerttemberg,08417,zollernalbkreis,1.1,4.7,6.7
217,08,baden-wuerttemberg,08421,ulm,4.1,6.9,9.9
218,08,baden-wuerttemberg,08425,alb-donau-kreis,1.3,3.7,5.4
219,08,baden-wuerttemberg,08426,biberach,1.9,4.4,5.2
220,08,baden-wuerttemberg,08435,bodenseekreis,2.4,5.2,6.5
221,08,baden-wuerttemberg,08436,ravensburg,2.1,5.6,6.2
222,08,baden-wuerttemberg,08437,sigmaringen,1.9,5.2,5.4
223,09,freistaat bayern,09161,ingolstadt,4.1,6.7,8.5
224,09,freistaat bayern,09162,muenchen,5.8,8.2,11.0
225,09,freistaat bayern,09163,rosenheim,4.3,8.2,11.0
226,09,freistaat bayern,09171,altoetting,3.4,5.6,6.5
227,09,freistaat bayern,09172,berchtesgadener land,2.4,4.9,6.3
228,09,freistaat bayern,09173,bad toelz-wolfratshausen,2.5,4.4,4.6
229,09,freistaat bayern,09174,dachau,2.3,3.6,3.5
230,09,freistaat bayern,09175,ebersberg,1.5,3.1,2.9
231,09,freistaat bayern,09176,eichstaett,0.9,2.2,2.3
232,09,freistaat bayern,09177,erding,1.9,3.4,3.7
233,09,freistaat bayern,09178,freising,1.5,2.8,2.4
234,09,freistaat bayern,09179,fuerstenfeldbruck,1.8,4.6,7.0
235,09,freistaat bayern,09180,garmisch-partenkirchen,2.3,5.2,7.7
236,09,freistaat bayern,09181,landsberg am lech,1.9,4.2,4.0
237,09,freistaat bayern,09182,miesbach,2.0,3.1,3.2
