_id,ags2,bundesland,ags5,kreis,kr_dl_qu,kr_id_qu,kr_abh_alt,kr_abh_ju,kr_alo_q,kr_erwt_ao,kr_erwt_ao_b1,kr_erwt_ao_b2,kr_erwt_ao_b3,kr_erwt_ao_b4,kr_erwt_ao_b5,kr_erwt_ao_b6,kr_erwt_ao_b7,kr_erwt_ao_b8,kr_erwt_ao_b9,kr_erwt_ao_b99,kr_erwpers,kr_be_ao,kr_be_ao_vz,kr_be_ao_tz,kr_be_wo,kr_be_wo_vz,kr_be_wo_tz,kr_selbst,kr_mithfam,kr_beamte,kr_rentner
49,03,Niedersachsen,03405,Wilhelmshaven,49.8,12.9,42.2,19.0,11.3,47654,86,0,4440,4186,2454,6342,3297,25004,1058,787,35291,30532,21363,9169,25600,17410,8190,2769,-99,1132,21706
50,03,Niedersachsen,03451,Ammerland,33.8,16.6,36.1,22.2,4.0,64033,2171,40,5069,6194,2250,13372,4826,28664,554,893,60069,44252,31796,12456,47888,33286,14602,6663,902,3004,33385
51,03,Niedersachsen,03452,Aurich,36.6,12.2,35.2,20.8,6.9,89377,1443,88,6774,7594,5527,12687,4535,46445,2504,1780,94764,61163,42885,18278,69394,50524,18870,8734,1157,4347,53154
52,03,Niedersachsen,03453,Cloppenburg,28.7,25.0,24.1,24.7,4.2,97513,3132,236,8315,17116,3681,15954,7700,39543,922,914,88399,67633,51933,15700,71950,54439,17511,7635,1133,3785,36636
53,03,Niedersachsen,03454,Emsland,35.4,24.9,28.1,22.2,2.6,202538,3824,249,20200,24071,10946,34832,16105,87865,2752,1694,169467,140713,105127,35586,133396,98439,34957,14405,2361,9079,79372
54,03,Niedersachsen,03455,Friesland,34.0,12.3,42.1,20.8,4.7,44425,668,12,2607,3981,2259,6216,3518,23377,1228,559,46113,29469,19083,10386,36171,24549,11622,4508,764,1969,28920
55,03,Niedersachsen,03456,Grafschaft Bentheim,34.5,19.3,31.5,22.7,2.7,76976,1282,238,7843,10877,3051,11661,7061,31902,1076,1985,70261,50713,36223,14490,53793,38281,15512,6598,1335,4219,34631
56,03,Niedersachsen,03457,Leer,31.5,9.9,32.5,21.5,5.7,74457,1036,131,4533,4902,18763,10025,3752,29300,1407,608,82188,48179,33054,15125,61773,44755,17018,8440,1372,5017,44844
57,03,Niedersachsen,03458,"Oldenburg, Kreis",26.0,13.8,32.2,21.4,3.4,54247,1439,19,3755,6395,1880,9194,3524,25368,1800,873,67792,37057,25422,11635,54965,38853,16112,7394,963,3245,32980
58,03,Niedersachsen,03459,"Osnabrück, Kreis",31.6,21.0,31.4,22.3,3.2,180424,3396,255,10458,29950,6319,33420,11931,81433,1845,1417,186741,130796,97031,33765,152552,109948,42604,17179,2718,7356,89767
59,03,Niedersachsen,03460,Vechta,40.0,30.2,23.4,23.7,3.7,101490,2916,275,6331,18406,4565,18326,10457,38948,786,480,81685,72835,55586,17249,64641,48215,16426,6416,868,4245,29727
60,03,Niedersachsen,03461,Wesermarsch,26.9,23.3,36.3,20.3,6.4,41930,805,83,2616,5642,3857,4808,2277,19773,1577,492,43636,30492,22980,7512,34692,25072,9620,4057,937,1939,24516
61,03,Niedersachsen,03462,Wittmund,33.1,9.6,38.7,21.0,5.9,25347,635,640,1848,1972,1212,2994,1198,13724,770,354,26259,16453,11243,5210,20376,14281,6095,3059,547,1215,16720
62,04,Bremen,04011,Bremen,56.3,16.6,31.8,19.9,10.2,310332,462,112,15713,28053,28630,44108,22419,160567,1312,8956,276941,281388,196343,85045,201447,134051,67396,27627,1291,12030,129434
63,04,Bremen,04012,Bremerhaven,57.2,-99.0,34.2,22.7,13.4,55749,64,0,2189,4202,6409,6545,2930,29305,744,3361,54788,52885,38307,14578,40290,28593,11697,2852,-99,1440,29487
64,05,Nordrhein-Westfalen,05111,Düsseldorf,86.4,12.3,29.0,20.2,7.2,543046,321,67,7218,25327,17680,112351,68078,252259,49201,10544,312126,424472,319016,105456,248752,184894,63858,38966,2470,21047,129852
65,05,Nordrhein-Westfalen,05112,Duisburg,38.3,14.1,31.2,21.4,11.8,233077,560,60,10601,41110,16407,40918,10284,107929,3188,2020,235904,175305,130309,44996,171148,124197,46951,15095,2120,9512,116314
66,05,Nordrhein-Westfalen,05113,Essen,52.5,10.8,33.1,20.6,11.1,337212,576,278,8741,45802,27458,29969,36460,185314,988,1626,276985,250601,178533,72068,205610,146773,58837,26404,1934,9286,142311
67,05,Nordrhein-Westfalen,05114,Krefeld,42.6,19.4,34.0,20.9,11.0,124247,527,32,5237,15848,5279,18511,11702,65171,494,1446,111266,94417,69722,24695,83233,59914,23319,12060,1569,3076,55536
68,05,Nordrhein-Westfalen,05116,Mönchengladbach,43.1,12.8,31.6,20.6,9.8,137262,415,68,6340,13524,7565,29472,14348,61733,1101,2696,128333,100119,72721,27398,96786,70345,26441,12227,1531,3774,67212
69,05,Nordrhein-Westfalen,05117,Mülheim an der Ruhr,38.6,16.5,37.5,20.9,7.8,81195,189,70,3143,14178,1909,9391,9101,35479,1954,5781,78392,59416,43992,15424,60401,43287,17114,8456,-99,2928,45237
70,05,Nordrhein-Westfalen,05119,Oberhausen,34.7,-99.0,33.2,20.0,10.8,92805,116,34,5516,8412,4733,10998,6383,55457,459,697,100870,66329,45367,20962,75238,54527,20711,7886,-99,2299,52674
71,05,Nordrhein-Westfalen,05120,Remscheid,36.1,27.2,34.8,21.4,7.8,60773,88,24,1842,11801,1273,10946,13641,20282,458,418,53645,46034,34473,11561,42332,31693,10639,3831,-99,1698,29344
72,05,Nordrhein-Westfalen,05122,Solingen,32.7,17.8,32.9,21.2,7.7,74085,215,19,3143,17213,1722,10388,6766,33465,282,872,79571,53935,39441,14494,62472,45863,16609,8362,-99,3443,38378
73,05,Nordrhein-Westfalen,05124,Wuppertal,40.5,13.8,32.1,21.7,8.8,175402,487,29,5947,21105,4441,25076,23190,90816,1747,2564,167678,126644,90093,36551,127847,91891,35956,15358,-99,6035,82399
74,05,Nordrhein-Westfalen,05154,Kleve,33.9,11.4,30.8,20.6,5.6,150060,3441,375,9525,14676,4694,30870,10308,72965,1898,1308,152998,102713,71878,30835,115567,82418,33149,16046,2472,5903,78736
75,05,Nordrhein-Westfalen,05158,Mettmann,42.0,18.6,37.9,21.7,6.2,255305,548,51,9964,37646,11543,52366,20911,114699,3383,4194,237574,193359,147438,45921,186669,136430,50239,23664,2303,9102,133288
76,05,Nordrhein-Westfalen,05162,Rhein-Kreis Neuss,36.3,13.7,34.1,22.0,5.5,206346,1056,1634,9606,19638,15466,38897,11816,103662,1319,3252,220970,150165,111488,38677,171870,126834,45036,23904,1526,8880,113495
77,05,Nordrhein-Westfalen,05166,Viersen,31.5,13.3,33.5,20.1,5.8,133750,1583,111,7157,17092,7540,26247,8832,60373,985,3830,148798,94053,66578,27475,112473,81285,31188,16133,1494,5971,77954
78,05,Nordrhein-Westfalen,05170,Wesel,32.4,12.2,35.7,19.9,6.5,203258,1841,227,14014,19527,18600,31556,11698,97015,5563,3217,223445,138269,95609,42660,169060,122509,46551,20379,2244,5448,121998
79,05,Nordrhein-Westfalen,05314,Bonn,72.6,6.3,26.6,21.5,6.9,252101,282,11,5131,7797,58747,16060,8572,145810,6303,3388,157612,180529,124969,55560,118467,80967,37500,18196,-99,10907,69016
80,05,Nordrhein-Westfalen,05315,Köln,63.3,10.9,25.2,19.7,8.5,778311,420,343,26723,62602,36330,81075,85696,468702,4716,11704,547757,582613,418690,163923,421741,295717,126024,61999,2272,31617,213571
81,05,Nordrhein-Westfalen,05316,Leverkusen,40.5,19.0,33.8,22.0,7.9,82997,224,22,4134,5301,3288,13276,14115,41198,578,861,79817,65080,48766,16314,63555,46085,17470,6106,-99,3318,41786
82,05,Nordrhein-Westfalen,05334,Aachen,43.2,13.0,30.0,18.9,7.5,306044,742,250,26337,32066,8114,38346,19351,171119,5601,4118,278240,219526,152468,67058,205699,142128,63571,26110,2317,6595,134482
83,05,Nordrhein-Westfalen,05358,Düren,32.9,14.7,32.2,20.7,6.9,122646,781,84,6810,17845,4154,15551,5514,67029,2892,1986,131417,85774,58798,26976,100276,73148,27128,11820,1497,5183,68528
84,05,Nordrhein-Westfalen,05362,Rhein-Erft-Kreis,33.7,11.8,32.9,21.8,6.3,201039,932,494,11627,17427,9940,31084,18274,104045,4443,2773,232894,145377,106220,39157,184442,134313,50129,22037,1829,10294,118820
85,05,Nordrhein-Westfalen,05366,Euskirchen,32.0,12.9,32.8,20.9,5.3,85408,815,53,5400,10534,4307,11599,4398,44233,1488,2581,100127,57919,40261,17658,73605,52980,20625,9893,1119,6711,52416
86,05,Nordrhein-Westfalen,05370,Heinsberg,29.2,12.1,31.3,20.7,5.5,107938,1887,187,9528,11869,4314,17256,6928,52255,1038,2676,123952,73671,51573,22098,94423,68656,25767,11544,1461,5911,64960
87,05,Nordrhein-Westfalen,05374,Oberbergischer Kreis,34.3,23.9,32.7,22.0,5.3,145463,999,54,6964,28728,2621,20101,23135,59070,2686,1105,138696,105917,80644,25273,109399,81792,27607,12879,1258,7651,71398
88,05,Nordrhein-Westfalen,05378,Rheinisch-Bergischer Kreis,29.4,11.2,36.5,21.6,5.7,115140,519,208,5557,11067,1818,16000,9804,67898,803,1466,138378,75454,51882,23572,107825,76636,31189,16845,1128,7935,74483
89,05,Nordrhein-Westfalen,05382,Rhein-Sieg-Kreis,29.1,10.8,32.7,22.3,5.3,245089,1951,271,15668,24161,10848,35215,20363,130187,3915,2510,296120,163472,113402,50070,228586,162462,66124,29835,2544,17270,151373
90,05,Nordrhein-Westfalen,05512,Bottrop,31.2,12.4,33.8,19.4,7.7,48353,380,270,4386,3827,1945,6159,3070,25971,1674,671,55082,33556,24195,9361,41891,30475,11416,4720,-99,1229,30563
91,05,Nordrhein-Westfalen,05513,Gelsenkirchen,35.5,10.7,31.7,22.0,14.1,116141,522,77,6054,10583,6771,19670,8371,60488,1894,1711,117833,81581,58205,23376,84676,60883,23793,8254,-99,4252,63195
92,05,Nordrhein-Westfalen,05515,Münster,64.5,9.7,24.0,17.8,5.0,232184,1909,34,5451,14036,8662,27806,21264,145614,2092,5316,157159,172364,117409,54955,118780,78187,40593,17479,-99,11749,63194
93,05,Nordrhein-Westfalen,05554,Borken,33.8,23.5,28.2,22.5,3.7,212455,2930,111,17948,34798,8815,40669,18154,83446,2153,3431,201332,148933,112156,36777,152780,114186,38594,17156,2660,8423,88713
94,05,Nordrhein-Westfalen,05558,Coesfeld,31.7,13.8,31.0,21.2,3.0,100919,1879,44,5619,10065,3629,18363,7148,47068,1477,5627,112618,70527,49459,21068,90727,64734,25993,10809,1730,5895,55495
95,05,Nordrhein-Westfalen,05562,Recklinghausen,30.1,10.8,34.8,20.2,8.8,249586,1412,897,15135,25281,9964,42184,16297,129018,4561,4837,300574,171594,119211,52383,222954,160658,62296,22724,2084,10952,165331
96,05,Nordrhein-Westfalen,05566,Steinfurt,35.0,17.4,29.8,22.3,4.3,227177,3189,1302,11914,31084,12608,36039,28898,94648,2476,5019,237421,161800,115837,45963,186573,134457,52116,18221,2123,9826,108064
97,05,Nordrhein-Westfalen,05570,Warendorf,29.1,20.2,32.2,22.2,5.0,133558,2010,47,7028,26847,4626,23303,6802,59267,1455,2173,144744,93627,69369,24258,114725,84598,30127,12532,1472,6549,71837
98,05,Nordrhein-Westfalen,05711,Bielefeld,53.9,15.0,30.2,21.5,7.9,213359,478,19,5480,20087,8560,35101,14323,124794,2817,1700,164236,158107,106168,51939,128490,86585,41905,15656,-99,3943,79719
99,05,Nordrhein-Westfalen,05754,Gütersloh,38.4,32.9,29.3,22.2,4.3,230587,1576,36,9167,41163,12294,31273,11241,120795,1659,1383,194744,182434,141424,41010,157278,118208,39070,15938,1356,9625,87051
100,05,Nordrhein-Westfalen,05758,Herford,33.3,23.5,34.2,21.5,5.6,127451,627,40,5390,23114,3105,21470,9420,61921,1463,901,126235,95297,68834,26463,102162,72668,29494,10850,1365,4950,66232
101,05,Nordrhein-Westfalen,05762,Höxter,31.3,16.8,34.7,21.0,4.1,65070,1069,61,4383,9141,2570,10310,3246,32931,898,461,69080,45332,31412,13920,55291,39586,15705,6346,897,2931,37944
102,05,Nordrhein-Westfalen,05766,Lippe,31.7,17.9,35.3,23.1,6.4,161306,1399,130,14584,20599,5732,22155,17389,75437,2724,1157,168705,115192,81738,33454,135522,96025,39497,16776,2230,6209,92482
103,05,Nordrhein-Westfalen,05770,Minden-Lübbecke,41.7,21.4,34.1,22.3,5.2,171532,1316,199,6012,17790,4692,62390,21056,56185,1044,848,153502,129303,93599,35704,124445,90266,34179,12905,1857,5887,83966
104,05,Nordrhein-Westfalen,05774,Paderborn,38.7,17.3,26.4,21.7,5.4,165287,1796,55,6628,18496,6145,18819,7923,99794,3258,2373,159830,120204,85446,34758,123990,88718,35272,12823,1893,7452,73173
105,05,Nordrhein-Westfalen,05911,Bochum,44.4,9.5,33.3,18.2,9.3,187820,225,302,9689,13002,8852,21021,30037,100017,1773,2902,175403,136378,93054,43324,131169,91181,39988,14850,-99,5438,93234
106,05,Nordrhein-Westfalen,05913,Dortmund,49.0,10.6,30.9,20.2,11.0,328479,575,294,17265,18910,13151,51803,33551,187322,1763,3845,290545,246601,174908,71693,210060,148376,61684,24296,2720,9746,138808
107,05,Nordrhein-Westfalen,05914,Hagen,42.6,15.9,35.3,22.0,11.0,99018,123,35,3625,12066,4944,18560,8517,46488,3328,1332,91283,71165,51869,19296,69600,50651,18949,6463,-99,1742,51247
108,05,Nordrhein-Westfalen,05915,Hamm,37.7,11.9,31.8,22.0,8.8,83608,630,10,4957,9996,3151,14098,4918,43670,835,1343,86162,60429,42270,18159,65364,46875,18489,5908,-99,3884,46334
109,05,Nordrhein-Westfalen,05916,Herne,32.7,10.7,33.5,20.0,11.4,62274,89,1329,4106,4001,3227,7568,4743,34885,1927,399,71340,46007,32709,13298,53659,38235,15424,4663,-99,1763,39471
110,05,Nordrhein-Westfalen,05954,Ennepe-Ruhr-Kreis,31.9,18.9,36.8,19.6,6.1,148882,594,381,6247,23855,5905,24085,7652,70294,5428,4441,156503,109994,79837,30157,124462,89512,34950,14877,1450,4861,86477
111,05,Nordrhein-Westfalen,05958,Hochsauerlandkreis,35.4,25.1,33.6,20.4,4.4,150287,1203,300,7761,30547,4689,20443,10677,68513,1905,4249,134805,107302,79700,27602,108089,80969,27120,11554,2050,7206,71093
112,05,Nordrhein-Westfalen,05962,Märkischer Kreis,29.6,30.2,33.9,21.0,6.8,219853,882,65,11595,57257,7445,32489,18458,84149,4683,2830,207997,163586,127155,36431,164270,126164,38106,17295,1927,6916,110771
113,05,Nordrhein-Westfalen,05966,Olpe,29.7,34.3,30.1,21.2,3.6,79793,523,74,2539,20415,2407,15319,5768,30929,773,1046,74127,60167,47390,12777,57799,45624,12175,5874,778,4507,33980
114,05,Nordrhein-Westfalen,05970,Siegen-Wittgenstein,36.6,26.1,32.6,20.3,5.0,159807,637,133,6648,26412,3779,19617,14940,84481,1699,1461,143261,117962,88665,29297,112560,84113,28447,10938,1127,7400,73647
115,05,Nordrhein-Westfalen,05974,Soest,33.3,21.4,32.2,21.3,5.5,156374,3522,131,7678,25471,4635,26620,9774,75717,1769,1057,154258,112594,83267,29327,121320,89380,31940,13308,1301,6921,79617
116,05,Nordrhein-Westfalen,05978,Unna,36.4,12.9,35.1,20.3,7.4,180713,754,138,7551,25069,11332,29930,7842,93320,2605,2172,194410,133132,97385,35747,149466,108003,41463,15168,999,5856,105200
117,06,Hessen,06411,Kreisfreie Stadt Darmstadt,69.5,22.6,25.0,19.6,5.5,133016,118,12,2063,5296,2056,20795,8233,92398,1058,987,80415,105337,74386,30951,62494,41941,20553,8226,925,2723,30988
118,06,Hessen,06412,Kreisfreie Stadt Frankfurt am Main,96.6,11.6,22.4,20.7,5.5,700236,569,980,18316,48045,43081,74189,173124,333645,2600,5687,373177,602428,439861,162567,310221,222699,87522,40598,2568,14411,142670
119,06,Hessen,06413,Kreisfreie Stadt Offenbach am Main,44.2,11.1,24.7,23.0,9.3,65973,52,138,3538,11114,2280,8984,7198,29482,509,2678,67480,48230,33289,14941,54305,37504,16801,6749,-99,1979,27005
120,06,Hessen,06414,Landeshauptstadt Wiesbaden,62.4,11.3,30.6,22.8,7.0,183108,321,356,4233,10394,2959,20029,19628,68429,53859,2900,139457,137730,97528,40202,109024,75509,33515,17521,-99,6820,68331
