_id,ags2,bundesland,ags5,kreis,kr_schu_kom,kr_sk,kr_us_ew
185,08,baden-wuerttemberg,08121,heilbronn,160.1,1102.8,108.7
186,08,baden-wuerttemberg,08125,heilbronn,431.3,1016.0,67.8
187,08,baden-wuerttemberg,08126,hohenlohekreis,471.7,1223.5,91.6
188,08,baden-wuerttemberg,08127,schwaebisch hall,727.2,1018.8,87.4
189,08,baden-wuerttemberg,08128,main-tauber-kreis,858.5,904.6,66.4
190,08,baden-wuerttemberg,08135,heidenheim,1025.4,949.2,70.5
191,08,baden-wuerttemberg,08136,ostalbkreis,858.8,1044.4,66.2
192,08,baden-wuerttemberg,08211,baden-baden,477.5,1294.3,114.9
193,08,baden-wuerttemberg,08212,karlsruhe,609.2,1269.6,117.4
194,08,baden-wuerttemberg,08215,karlsruhe,738.2,986.7,62.7
195,08,baden-wuerttemberg,08216,rastatt,572.5,1119.0,70.3
196,08,baden-wuerttemberg,08221,heidelberg,1125.3,953.9,96.6
197,08,baden-wuerttemberg,08222,mannheim,1618.5,1176.7,135.9
198,08,baden-wuerttemberg,08225,neckar-odenwald-kreis,996.3,856.3,50.2
199,08,baden-wuerttemberg,08226,rhein-neckar-kreis,646.2,1231.7,58.4
200,08,baden-wuerttemberg,08231,pforzheim,1133.9,895.1,92.2
201,08,baden-wuerttemberg,08235,calw,1145.8,869.9,45.0
202,08,baden-wuerttemberg,08236,enzkreis,425.8,989.2,50.9
203,08,baden-wuerttemberg,08237,freudenstadt,411.6,1088.2,66.5
204,08,baden-wuerttemberg,08311,freiburg im breisgau,727.1,1024.6,84.7
205,08,baden-wuerttemberg,08315,breisgau-hochschwarzwald,641.5,902.6,45.4
206,08,baden-wuerttemberg,08316,emmendingen,568.7,889.9,45.2
207,08,baden-wuerttemberg,08317,ortenaukreis,332.7,999.3,69.9
208,08,baden-wuerttemberg,08325,rottweil,153.7,1199.4,71.0
209,08,baden-wuerttemberg,08326,schwarzwald-baar-kreis,409.7,987.8,67.8
210,08,baden-wuerttemberg,08327,tuttlingen,649.6,1195.1,78.7
211,08,baden-wuerttemberg,08335,konstanz,339.0,1005.2,56.7
212,08,baden-wuerttemberg,08336,loerrach,463.7,1058.7,59.6
213,08,baden-wuerttemberg,08337,waldshut,579.6,965.8,55.9
214,08,baden-wuerttemberg,08415,reutlingen,713.7,1078.8,69.7
215,08,baden-wuerttemberg,08416,tuebingen,552.7,904.8,49.5
216,08,baden-wuerttemberg,08417,zollernalbkreis,613.2,1002.6,64.0
217,08,baden-wuerttemberg,08421,ulm,881.9,1356.7,130.1
218,08,baden-wuerttemberg,08425,alb-donau-kreis,305.3,1024.1,53.4
219,08,baden-wuerttemberg,08426,biberach,209.9,1313.0,74.9
220,08,baden-wuerttemberg,08435,bodenseekreis,454.8,1131.3,68.9
221,08,baden-wuerttemberg,08436,ravensburg,529.8,967.3,62.4
222,08,baden-wuerttemberg,08437,sigmaringen,280.4,880.1,55.8
223,09,freistaat bayern,09161,ingolstadt,74.9,1056.0,137.1
224,09,freistaat bayern,09162,muenchen,498.0,1621.4,150.8
225,09,freistaat bayern,09163,rosenheim,1307.4,1029.3,100.6
226,09,freistaat bayern,09171,altoetting,1049.9,1482.2,84.2
227,09,freistaat bayern,09172,berchtesgadener land,1016.9,855.0,51.8
228,09,freistaat bayern,09173,bad toelz-wolfratshausen,767.6,1008.1,44.3
229,09,freistaat bayern,09174,dachau,535.1,1100.1,39.6
230,09,freistaat bayern,09175,ebersberg,953.5,1148.9,39.7
231,09,freistaat bayern,09176,eichstaett,266.7,1005.8,41.3
232,09,freistaat bayern,09177,erding,522.4,1230.1,44.0
233,09,freistaat bayern,09178,freising,852.7,1297.8,75.4
234,09,freistaat bayern,09179,fuerstenfeldbruck,800.4,1094.3,36.9
235,09,freistaat bayern,09180,garmisch-partenkirchen,967.8,918.2,47.5
236,09,freistaat bayern,09181,landsberg am lech,1319.8,1104.5,41.9
237,09,freistaat bayern,09182,miesbach,2053.3,1166.3,57.0
238,09,freistaat bayern,09183,muehldorf a.inn,1121.7,947.4,53.2
239,09,freistaat bayern,09184,muenchen,551.0,2454.2,137.9
240,09,freistaat bayern,09185,neuburg-schrobenhausen,799.1,934.0,51.1
241,09,freistaat bayern,09186,pfaffenhofen a.d.ilm,369.4,1133.5,46.6
242,09,freistaat bayern,09187,rosenheim,893.3,952.8,46.8
243,09,freistaat bayern,09188,starnberg,412.1,1467.2,64.1
244,09,freistaat bayern,09189,traunstein,778.0,1035.7,61.8
245,09,freistaat bayern,09190,weilheim-schongau,501.3,1130.6,56.1
246,09,freistaat bayern,09261,landshut,1884.1,1089.0,85.6
247,09,freistaat bayern,09262,passau,2796.7,1049.1,117.5
248,09,freistaat bayern,09263,straubing,1926.7,995.4,104.2
249,09,freistaat bayern,09271,deggendorf,970.8,845.7,59.0
250,09,freistaat bayern,09272,freyung-grafenau,1421.2,697.2,40.1
251,09,freistaat bayern,09273,kelheim,440.4,917.5,50.6
252,09,freistaat bayern,09274,landshut,465.8,1043.1,49.7
253,09,freistaat bayern,09275,passau,1098.4,811.4,43.7
254,09,freistaat bayern,09276,regen,1373.5,754.7,51.7
255,09,freistaat bayern,09277,rottal-inn,1356.9,874.4,50.3
256,09,freistaat bayern,09278,straubing-bogen,433.3,863.5,33.5
257,09,freistaat bayern,09279,dingolfing-landau,535.8,1504.4,94.9
258,09,freistaat bayern,09361,amberg,673.3,1042.9,90.2
259,09,freistaat bayern,09362,regensburg,880.6,1472.8,146.0
260,09,freistaat bayern,09363,weiden i.d.opf.,1513.2,957.4,101.8
261,09,freistaat bayern,09371,amberg-sulzbach,1412.0,797.2,42.3
262,09,freistaat bayern,09372,cham,1141.0,832.5,52.8
263,09,freistaat bayern,09373,neumarkt i.d.opf.,222.2,945.8,49.5
264,09,freistaat bayern,09374,neustadt a.d.waldnaab,639.5,867.3,43.1
